id,product_id,procedure_id,phase_id,instructions,created_at,updated_at
5314,1,1121,348,initial,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5315,1,1121,6,Maintenance,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5317,1,1121,5,Acute,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5321,1,1,348,initial,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5322,1,1,6,Maintenance,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5324,1,1,5,Acute,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5325,2,1,348,initial,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5326,2,1,6," maintenance",2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5328,2,2,348,initial,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5329,2,2,6," maintenance",2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5331,1,2,348,initial,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5332,1,2,6,Maintenance,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5334,1,2,5,Acute,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5335,2,3,348,initial,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5336,2,3,6," maintenance",2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5338,1,3,348,initial,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5339,1,3,6,Maintenance,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5341,1,3,5,Acute,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5342,3,4,348,aefqw4f,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5343,3,4,6,rf3f4,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5345,3,4,10,Use once for baseline assessment and periodically to monitor progress,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5346,3,4,8,Use monthly to track treatment effectiveness,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
5347,3,4,9,Use bi-weekly to monitor condition and adjust treatment as needed,2025-05-30 00:33:53.25407+00,2025-05-30 00:33:53.25407+00
