id,name,created_at,updated_at
4,Prep,2025-05-15 01:41:31.208863+00,2025-05-15 01:41:31.208863+00
5,Acute,2025-05-15 01:41:31.208863+00,2025-05-15 01:41:31.208863+00
6,Maintenance,2025-05-15 01:41:31.208863+00,2025-05-15 01:41:31.208863+00
7,Slight,2025-05-15 01:41:31.208863+00,2025-05-15 01:41:31.208863+00
8,Moderate,2025-05-15 01:41:31.208863+00,2025-05-15 01:41:31.208863+00
9,Severe,2025-05-15 01:41:31.208863+00,2025-05-15 01:41:31.208863+00
10,Mild,2025-05-15 01:41:31.208863+00,2025-05-15 01:41:31.208863+00
11,Daily Use,2025-05-15 01:41:31.208863+00,2025-05-15 01:41:31.208863+00
348,Initial,2025-05-15 21:10:22.259405+00,2025-05-15 21:10:22.259405+00
595,Active,2025-05-16 20:29:57.82494+00,2025-05-16 20:29:57.82494+00
597,Early,2025-05-16 20:29:57.82494+00,2025-05-16 20:29:57.82494+00
600,"Early ",2025-05-16 20:29:57.82494+00,2025-05-16 20:29:57.82494+00
634,"Active ",2025-05-16 21:00:43.249321+00,2025-05-16 21:00:43.249321+00
635,"Maintenance ",2025-05-16 21:00:43.249321+00,2025-05-16 21:00:43.249321+00
