id,procedure_id,dentist_id,created_at,updated_at
2797,2,1,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2798,2,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2799,2,4,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2800,3,5,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2801,3,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2802,3,6,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2803,4,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2804,4,7,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2805,4,8,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2806,4,5,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2807,12,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2808,12,2,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2809,13,1,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2810,13,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2811,14,1,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2812,14,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2813,15,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2814,15,7,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2815,15,5,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2816,16,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2817,16,5,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2818,17,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2819,17,4,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2820,5,8,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2821,5,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2822,5,5,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2823,6,1,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2824,6,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2825,7,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2826,7,1,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2827,7,4,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2828,8,7,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2829,8,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2830,9,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2831,9,6,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2832,9,5,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2833,10,2,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2834,10,1,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2835,10,3,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2836,11,1,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
2837,11,2,2025-05-30 00:33:51.942514+00,2025-05-30 00:33:51.942514+00
