id,procedure_id,patient_type_id,created_at,updated_at
4565,1,1,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4566,1,2,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4567,1,3,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4568,1,4,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4569,2,1,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4570,2,2,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4571,2,3,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4572,2,4,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4573,3,1,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4574,3,2,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4575,3,3,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4576,3,4,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4577,4,1,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4578,4,2,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4579,4,3,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4580,4,4,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4581,12,1,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4582,12,2,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4583,12,3,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4584,12,4,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4585,13,1,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4586,13,2,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4587,13,3,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4588,13,4,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4589,14,1,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4590,14,2,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4591,14,3,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
4592,14,4,2025-05-30 00:33:52.257295+00,2025-05-30 00:33:52.257295+00
